date,q,swt,v,lh,sh,light,strat,t,rh,sp,cc,pev,sw,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp
2021-12-02,9.63923032407411,11.74317,93883571.971294,-99.937185,-25.341222,200.059065,0.185657,4.657500075,73.9944272916667,955.038824166667,69.875,0.0485536951916667,5.62326502083333,4.83666673333333,5.3512501,9.15958333333333,16.4450003333333,0.329291666666667,0.315708333333333,0.163375,0.223,0
2021-12-03,9.33946057555818,11.593653,94175571.971294,-63.726003,-15.765134,226.134263,0.182424,3.39291672416667,64.221718,962.829838333333,66.2083333333333,0.0428636034291667,3.3896246625,3.92625005833333,5.0450000375,8.97208333333333,16.3262496666667,0.314791666666667,0.310083333333333,0.164291666666667,0.223,0
2021-12-04,9.61220560136109,11.3979,94467571.971294,-104.329285,-26.269618,168.652682,0.188777,4.65750004166667,88.39161225,962.216355833333,61.875,0.0321826844554167,4.73498414166667,3.65541674166667,4.8137500375,8.75958333333333,16.2116670833333,0.310375,0.307416666666667,0.165583333333333,0.223,0
2021-12-05,9.60302335785265,11.138567,94425571.971294,-158.195032,-42.185892,169.595652,0.252617,2.83041673458333,77.3348535833333,957.918322916667,67.0416666666667,0.04167950146125,8.73853657083333,3.34708337916667,4.77625005,8.58875,16.0887495833333,0.30725,0.304125,0.166583333333333,0.223,0
2021-12-06,8.36559272164148,10.982729,94677571.971294,-74.379492,-17.155447,214.516241,0.327201,4.52000001916667,64.9256359583333,963.192278333333,68.3333333333333,0.0472396310291667,7.81295699166667,3.3658334,4.420000025,8.4075,15.97,0.303375,0.301416666666667,0.1675,0.223,0
2021-12-07,9.14098025551695,10.786989,94929571.971294,-133.821348,-30.396214,187.115515,0.252497,5.62833337916667,80.4733398333333,961.79440125,69.0416666666667,0.0393449675966667,9.47235847916667,4.2325000625,4.62416670416667,8.22208333333333,15.8491666666667,0.305625,0.303166666666667,0.169,0.223,0
2021-12-08,9.14399999999996,10.586858,95098571.971295,-137.692033,-31.635331,140.462941,0.252457,6.14916671416667,77.314321875,953.220615833333,44.5416666666667,0.0440563064291667,13.975817325,6.20750004166667,6.53041675416667,8.2325,15.7241666666667,0.301583333333333,0.299166666666667,0.169625,0.223,0.1
2021-12-09,8.18394534778679,10.36389,95350571.971294,-127.467097,-36.485011,186.295936,0.252398,1.75541675458333,83.9326445,959.08987,78.9583333333333,0.03203622360625,7.06850951666667,2.38875004583333,4.55541673333333,8.22,15.6116666666667,0.297958333333333,0.295708333333333,0.170291666666667,0.223,0.6
2021-12-10,9.14651388888901,10.277629,94828571.971294,-64.392153,-14.634265,162.695587,0.252521,6.1491666875,88.82830625,954.82716125,99.5416666666667,0.031646165022,7.886283025,4.945000025,4.75333342916667,8.04916666666667,15.4908333333333,0.3215,0.293625,0.171,0.223,3.4
2021-12-11,7.91360069444436,10.227421,94133571.971294,-12.365083,-3.158567,156.627133,0.281048,5.74291672916667,80.9812537916667,964.496700416667,95,0.0363459767333333,4.89342834875,5.465833375,5.87416672916667,8.03041666666667,15.3679166666667,0.320583333333333,0.289791666666667,0.170458333333333,0.223,0.8
